Site,DateTime,Water_Pres_psi,Water_Temp_F,Barom_Pres_psi,Air_Temp_F,Water_Level_ft,Water_Level_NoIce_ft,Filter_Ice,Notes
Confluence,8/19/2020 4:00,11.55,49.4,11.18,41.99,1.03,1.03,0,
Confluence,8/19/2020 5:00,11.55,48.34,11.18,39.38,1.02,1.02,0,
Confluence,8/19/2020 6:00,11.55,47.45,11.18,37.3,1.01,1.01,0,
Confluence,8/19/2020 7:00,11.56,46.73,11.19,36.53,1.02,1.02,0,
Confluence,8/19/2020 8:00,11.56,46.55,11.19,40.88,1.03,1.03,0,
Confluence,8/19/2020 9:00,11.56,47.27,11.18,50.11,1.03,1.03,0,
Confluence,8/19/2020 10:00,11.55,49.05,11.18,62.6,1.03,1.03,0,
Confluence,8/19/2020 11:00,11.54,51.52,11.17,72.72,1.03,1.03,0,
Confluence,8/19/2020 12:00,11.53,54.32,11.16,82.15,1.02,1.02,0,
Confluence,8/19/2020 13:00,11.52,55.19,11.15,81.09,1.02,1.02,0,
Confluence,8/19/2020 14:00,11.52,55.54,11.14,74.45,1.04,1.04,0,
Confluence,8/19/2020 15:00,11.51,55.71,11.13,72.03,1.03,1.03,0,
Confluence,8/19/2020 16:00,11.51,56.23,11.13,72.37,1.05,1.05,0,
Confluence,8/19/2020 17:00,11.51,56.4,11.13,73.23,1.04,1.04,0,
Confluence,8/19/2020 18:00,11.5,57.1,11.12,83.76,1.03,1.03,0,
Confluence,8/19/2020 19:00,11.5,57.44,11.12,75.14,1.04,1.04,0,
Confluence,8/19/2020 20:00,11.51,57.1,11.12,63.8,1.05,1.05,0,
Confluence,8/19/2020 21:00,11.51,56.4,11.13,55.19,1.05,1.05,0,
