General Information,,,,,,,,,,,Solar Power Information,,,,,,,,,Detection Distance,,,,,,,,,,,,,,,,Tuning,,,,Notes,
,,,,,,,Supply Voltage,,Data Downloads,,,,,,,,,,,32mm RR (ft),,,,32mm Center (ft),,,,12mm RR (ft),,,,12mm Center (ft),,Tuning,,,,,,,
Site,Date,Initials,Stage (ft),Time,Debris,Weather,Supply Voltage Downstream,Supply Voltage Upstream,Data Downloads Downstream,Data Downloads Upstream,Solar Voltage (V),Solar Current (A),Solar Input (KwH),Battery Voltage (V),Battery Capacity (percent),Load Current (A),Load Draw (KwH),Operating Temp (C),Load Mode,32mm RR (ft) DS Initial,32mm RR (ft) US Initial,32mm RR (ft) DS Final,32mm RR (ft) US Final,32mm Center (ft) DS Initial,32mm Center (ft) US Initial,32mm Center (ft) DS Final,32mm Center (ft) US Final,12mm RR (ft) DS Initial,12mm RR (ft) US Initial,12mm RR (ft) DS Final,12mm RR (ft) US Final,12mm Center (ft) DS Initial,12mm Center (ft) US Initial,12mm Center (ft) DS Final,12mm Center (ft) US Final,Tuning DS Initial,Tuning US Initial,Tuning DS Final,Tuning US Final,Notes,
Confluence,5/4/2023,"BH, SI  ",2.32,12:00,none,"Sunny, wet",13.9,13.8,CR_CF_A5_20230504,CR_CF_A6_20230504,23.5,2.5,483.4,13.8,100,1.1,449.2,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very high flows, 1600 cfs this morning. Too deep/fast to do detection distances",
Confluence,5/18/2023,"SI, ER, BH",2.25,13:20,looks clear,cloudy,NA,NA,No download,No download,22.8,2.2,489.4,13.7,100,1.2,454.4,25,15,1.06,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ok,ok,NA,NA,All looks good. No downloads. ,
Confluence,6/6/2023,"ER, MK, SI",1.47,16:48,big tree on upstream,cloudy,14,13.8,CR_CF_A5_20230606,CR_CF_A6_20230606,18.3,2.4,497.8,13.8,100,1.2,461.6,25,15,1.09,1.43,NA,NA,NA,NA,NA,NA,0.13,0.24,NA,NA,NA,NA,NA,NA,ok,ok,NA,NA,"Tree hung on CF6 and maybe on CF5 as well, cannot remove until flows drop, but appears both antennas are functioning fine right now. ",
Confluence,6/23/2023,"ER, SI",underwater,14:06,"Maybe log, cant tell",sunny,13.7,14.2,CR_CF_A5_20230623,CR_CF_A6_20230623,22.7,1.5,204.7,13.8,100,0.8,467.6,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marker tag on downstream either dead on 6/21 or gone. 10 casts; RB-LB: 1nn,2nd,3nn,4nn,5nn,6nd,7un,8nn,9nn,10nn. Upstream: 1/10. downstream: 2/10.",
Confluence,7/27/2023,"SI, MM, ER, MK",0.14,9:07,"Tree, big logs",Sunny,14.9,14.5,CR_CF_A5_20230727,CR_CF_A6_20230727,19.4,4.9,518.47,14.6,100,1.1,478.3,25,15,0.9,1.5,NA,NA,1.1,1.5,NA,NA,TOUCHING,0.15,NA,NA,TOUCHING,0.35,NA,NA,OK,OK,NA,NA,DOWNSTREAM ANTENNA COMPLETELY SNAPPED AT HALFWAY/MIDPOINT. STILL DETECTING. REPARIED TO THE BEST OF ABILITIES WITH STRAPS/ROCKS BUT IT IS IN BAD SHAPE. UPSTREAM MOSTLY INTACT. May have changed electricity. Buried in sediment. ,
Confluence,8/30/2023,"MK, MM",0.27,15:34,None,Sunny,13.8,14.2,CR_CF_A5_20230830,CR_CF_A6_20230830,22.4,2.3,532.6,13.7,100,0.9,489,25,15,0.8,1.3,0.8,NA,0.75,1.3,0.85,NA,0,0.05,NA,NA,0.05,0.05,NA,NA,NA,NA,NA,NA,Re-tuned CF5 antenna. No improvement. CF5 not tuning antenna. ,
Confluence,10/3/2023,"SI, MM",0.5,17:36,None,Cloudy,13.3,13.6,CR_CF_A5_20231003,CR_CF_A6_20231003,13.4,0.6,551.1,13.2,98,1.6,505.5,25,15,1.6,1.25,NA,NA,1.85,1.55,NA,NA,0.3,0.1,NA,NA,0.35,0.25,NA,NA,ok,ok,NA,NA,,
Confluence,10/18/2023,"ER, EF, SI",0.49,15:00,None,Clear,NA,NA,CR_CF_A5_20231018,CR_CF_A6_20231018,23.2,3.6,559.5,13.7,100,2,513.4,25,15,1.7,1.3,NA,NA,1.55,1.35,NA,NA,0.35,0.2,NA,NA,0.45,0.2,NA,NA,ok,ok,NA,NA,Adjusted pressure transuder elevation. ,
Confluence,10/31/2023,"SI, CB",0.61,11:50,None,"Cold, Sunny",14.7,14.3,CR_CF_A5_20231031,CR_CF_A6_20231031,19.4,7.6,567.4,14.2,100,2.1,521.17,25,15,1.85,1.65,NA,NA,1.9,1.45,NA,NA,0.35,0.35,NA,NA,0.4,0.5,NA,NA,ok,ok,NA,NA,,
Confluence,11/28/2023,"MM, SI",0.6,13:00,Ice,Sunny,14.5,15.3,CR_CF_A5_20231128,CR_CF_A6_20231128,21.4,8,586.3,14.7,100,2.1,539.9,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ok,ok,NA,NA,Cannot conduct dietection distances due to river ice.,
