RS_Num,River,RecaptureSite,Date,Time,UTM_X,UTM_Y,Species,Length,Weight,TagType,TagID,QAQC,TagSize,Ant,Event,FinClip,Mortality,Comments
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,RBT,306,263,HA,230000228766,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,349,378,HA,230000228771,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,272,201,HA,230000228772,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,RBT,297,220,HA,230000228779,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,346,365,HA,230000228896,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,306,270,HA,230000228949,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,317,278,HA,230000272693,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,LOC,368,505,HA,230000228990,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,RBT,298,289,HA,230000229019,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,LOC,377,488,HA,230000229050,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,LOC,376,540,HA,230000229072,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,LOC,264,202,HA,230000272419,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,LOC,382,567,HA,230000272439,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,LOC,358,464,HA,230000272560,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,LOC,314,280,HA,230000272567,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,LOC,380,523,HA,230000272663,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,LOC,425,683,HA,230000272783,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,LOC,354,465,HA,230000272799,pass,32,Handheld,Recapture,adp,0,
15,Colorado River,Kinney Creek,5/2/2022,18:00:00,411432,4438897,LOC,379,484,HA,230000272887,pass,32,Handheld,Recapture,adp,0,
10,Colorado River,Upper Red Barn Fry Site,5/5/2022,14:30:00,412728,4439665,LOC,376,522,HA,230000272142,pass,32,Handheld,Recapture,adp,0,
10,Colorado River,Upper Red Barn Fry Site,5/5/2022,14:30:00,412728,4439665,LOC,355,398,HA,230000272145,pass,32,Handheld,Recapture,adp,0,
10,Colorado River,Upper Red Barn Fry Site,5/5/2022,14:30:00,412728,4439665,LOC,322,322,HA,230000272220,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,MTS,112,18,HA,226001581253,pass,12,Handheld,Recapture,right pelvic,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,RBT,363,476,HA,230000224302,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,RBT,418,686,HA,230000224305,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,300,258,HA,230000224314,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,348,452,HA,230000224320,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,277,206,HA,230000224326,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,339,398,HA,230000224329,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,331,388,HA,230000224335,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,319,366,HA,230000224339,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,343,443,HA,230000224340,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,363,454,HA,230000224343,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,327,334,HA,230000224344,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,409,688,HA,230000224352,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,RBT,490,1060,HA,230000224358,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,RBT,575,1399,HA,230000224359,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,427,729,HA,230000224361,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,307,288,HA,230000224362,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,417,663,HA,230000224363,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,352,485,HA,230000224383,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,335,348,HA,230000224392,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,327,365,HA,230000224393,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,RBT,383,544,HA,230000228010,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,424,697,HA,230000228026,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,444,910,HA,230000228045,fail,32,Handheld,Recapture,adp,0,not denoted as recapture on data sheet
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,393,668,HA,230000228063,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,RBT,362,466,HA,230000228122,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,465,912,HA,230000228141,pass,32,Handheld,Recapture,adp,0,
2,Fraser River,Fraser River Ranch,8/30/2022,12:00:00,417231,4438604,LOC,352,536,HA,230000272798,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,MTS,103,15,HA,226001581278,pass,12,Handheld,Recapture,right pelvic,0,
